Series.Code	Indicator	Target	Goal
"SL_EMP_EARN88_2_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.47	8.5	8
"SL_EMP_EARN88_2_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.48	8.5	8
"SL_EMP_EARN88_2_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.49	8.5	8
"SL_EMP_EARN88_3_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.50	8.5	8
"SL_EMP_EARN88_3_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.51	8.5	8
"SL_EMP_EARN88_3_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.52	8.5	8
"SL_EMP_EARN88_4_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.53	8.5	8
"SL_EMP_EARN88_4_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.54	8.5	8
"SL_EMP_EARN88_4_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.55	8.5	8
"SL_EMP_EARN88_5_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.56	8.5	8
"SL_EMP_EARN88_5_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.57	8.5	8
"SL_EMP_EARN88_5_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.58	8.5	8
"SL_EMP_EARN88_6_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.59	8.5	8
"SL_EMP_EARN88_6_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.60	8.5	8
"SL_EMP_EARN88_6_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.61	8.5	8
"SL_EMP_EARN88_7_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.62	8.5	8
"SL_EMP_EARN88_7_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.63	8.5	8
"SL_EMP_EARN88_7_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.64	8.5	8
"SL_EMP_EARN88_8_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.65	8.5	8
"SL_EMP_EARN88_8_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.66	8.5	8
"SL_EMP_EARN88_8_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.67	8.5	8
"SL_EMP_EARN88_9_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.68	8.5	8
"SL_EMP_EARN88_9_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.69	8.5	8
"SL_EMP_EARN88_9_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.70	8.5	8
"SL_EMP_EARN88_X_All.age.ranges.or.no.breakdown.by.age_Male"	8.5.71	8.5	8
"SL_EMP_EARN88_X_All.age.ranges.or.no.breakdown.by.age_Female"	8.5.72	8.5	8
"SL_EMP_EARN88_X_All.age.ranges.or.no.breakdown.by.age_Both.sexes.or.no.breakdown.by.sex"	8.5.73	8.5	8
"SL_TLF_UEM_15.to.24.years.old_Both.sexes.or.no.breakdown.by.sex"	8.5.74	8.5	8
"SL_TLF_UEM_15.to.24.years.old_Female"	8.5.75	8.5	8
"SL_TLF_UEM_15.to.24.years.old_Male"	8.5.76	8.5	8
"SL_TLF_UEM_15.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.5.77	8.5	8
"SL_TLF_UEM_15.years.old.and.over_Female"	8.5.78	8.5	8
"SL_TLF_UEM_15.years.old.and.over_Male"	8.5.79	8.5	8
"SL_TLF_UEM_25.years.old.and.over_Both.sexes.or.no.breakdown.by.sex"	8.5.80	8.5	8
"SL_TLF_UEM_25.years.old.and.over_Female"	8.5.81	8.5	8
"SL_TLF_UEM_25.years.old.and.over_Male"	8.5.82	8.5	8
"SL_TLF_NEET_15.to.24.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.1	8.6	8
"SL_TLF_NEET_15.to.24.years.old_Female"	8.6.2	8.6	8
"SL_TLF_NEET_15.to.24.years.old_Male"	8.6.3	8.6	8
"SL_TLF_NEET_16.to.24.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.4	8.6	8
"SL_TLF_NEET_16.to.24.years.old_Female"	8.6.5	8.6	8
"SL_TLF_NEET_16.to.24.years.old_Male"	8.6.6	8.6	8
"SL_TLF_NEET_15.to.29.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.7	8.6	8
"SL_TLF_NEET_12.to.30.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.8	8.6	8
"SL_TLF_NEET_12.to.30.years.old_Female"	8.6.9	8.6	8
"SL_TLF_NEET_12.to.30.years.old_Male"	8.6.10	8.6	8
"SL_TLF_NEET_14.to.28.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.11	8.6	8
"SL_TLF_NEET_14.to.28.years.old_Female"	8.6.12	8.6	8
"SL_TLF_NEET_14.to.28.years.old_Male"	8.6.13	8.6	8
"SL_TLF_NEET_14.to.24.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.14	8.6	8
"SL_TLF_NEET_14.to.24.years.old_Female"	8.6.15	8.6	8
"SL_TLF_NEET_14.to.24.years.old_Male"	8.6.16	8.6	8
"SL_TLF_NEET_15.to.29.years.old_Female"	8.6.17	8.6	8
"SL_TLF_NEET_15.to.29.years.old_Male"	8.6.18	8.6	8
"SL_TLF_NEET_14.to.29.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.19	8.6	8
"SL_TLF_NEET_14.to.29.years.old_Female"	8.6.20	8.6	8
"SL_TLF_NEET_14.to.29.years.old_Male"	8.6.21	8.6	8
"SL_TLF_NEET_18.to.35.years.old_Both.sexes.or.no.breakdown.by.sex"	8.6.22	8.6	8
"SL_TLF_NEET_18.to.35.years.old_Female"	8.6.23	8.6	8
"SL_TLF_NEET_18.to.35.years.old_Male"	8.6.24	8.6	8

"SL_TLF_CHD_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.1	8.7	8
"SL_TLF_CHDHAZ_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.2	8.7	8
"SL_TLF_CHDHAZN_5.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.3	8.7	8
"SL_TLF_CHDLBR_10.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.4	8.7	8
"SL_TLF_CHDLBR_10.to.14.years.old_Female"	8.7.5	8.7	8
"SL_TLF_CHDLBR_10.to.14.years.old_Male"	8.7.6	8.7	8
"SL_TLF_CHDLBR_10.to.17.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.7	8.7	8
"SL_TLF_CHDLBR_10.to.17.years.old_Female"	8.7.8	8.7	8
"SL_TLF_CHDLBR_10.to.17.years.old_Male"	8.7.9	8.7	8
"SL_TLF_CHDLBR_12.to.14.years.old_Both.sexes.or.no.breakdown.by.sex"	8.7.10	8.7	8
"SL_TLF_CHDLBR_12.to.14.years.old_Female"	8.7.11	8.7	8
